,season,league_name,player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,minutes_90s,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,pens_save_pct,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
59,2021-2022,La-Liga,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,27-324,1993,13.0,12.0,1152.0,12.8,14.0,1.09,44.0,34.0,77.3,6.0,2.0,4.0,4.0,33.3,6.0,4.0,2.0,0.0,33.3,0.0,1.0,1.0,17.2,0.29,4.2,0.33,80.0,243.0,32.9,288.0,62.0,56.3,45.9,103.0,78.6,58.4,104.0,11.0,10.6,4.0,0.31,10.9
60,2021-2022,La-Liga,Matías Dituro,ar ARG,GK,Celta Vigo,34-190,1987,13.0,13.0,1170.0,13.0,17.0,1.31,51.0,35.0,68.6,3.0,3.0,7.0,5.0,38.5,4.0,1.0,3.0,0.0,75.0,0.0,1.0,0.0,20.3,0.33,3.3,0.25,109.0,241.0,45.2,371.0,49.0,49.6,42.5,86.0,66.3,51.8,79.0,10.0,12.7,16.0,1.23,17.8
61,2021-2022,La-Liga,Marko Dmitrović,rs SRB,GK,Sevilla,29-294,1992,2.0,2.0,180.0,2.0,3.0,1.5,9.0,6.0,66.7,2.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.42,0.8,0.39,3.0,12.0,25.0,45.0,9.0,17.8,26.9,10.0,40.0,37.4,15.0,1.0,6.7,5.0,2.5,20.2
62,2021-2022,La-Liga,Aarón Escandell,es ESP,GK,Granada,26-048,1995,4.0,3.0,284.0,3.2,6.0,1.9,14.0,10.0,71.4,0.0,2.0,1.0,1.0,33.3,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.19,-2.2,-0.68,39.0,89.0,43.8,88.0,13.0,68.2,48.1,37.0,78.4,54.3,26.0,2.0,7.7,7.0,2.22,14.6
63,2021-2022,La-Liga,Aitor Fernández,es ESP,GK,Levante,30-195,1991,9.0,9.0,806.0,9.0,19.0,2.12,55.0,37.0,67.3,0.0,5.0,4.0,1.0,11.1,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,16.4,0.28,-2.6,-0.29,49.0,111.0,44.1,182.0,40.0,44.5,39.9,67.0,44.8,35.8,87.0,4.0,4.6,6.0,0.67,14.1
64,2021-2022,La-Liga,Dominik Greif,sk SVK,GK,Mallorca,24-222,1997,1.0,1.0,90.0,1.0,3.0,3.0,6.0,3.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1,0.19,-1.9,-1.87,2.0,13.0,15.4,21.0,6.0,42.9,37.8,10.0,40.0,37.4,8.0,0.0,0.0,1.0,1.0,13.0
65,2021-2022,La-Liga,Sergio Herrera,es ESP,GK,Osasuna,28-162,1993,12.0,12.0,1080.0,12.0,15.0,1.25,43.0,30.0,69.8,5.0,4.0,3.0,5.0,41.7,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,11.8,0.25,-2.2,-0.18,142.0,302.0,47.0,275.0,21.0,80.4,56.3,89.0,91.0,63.6,135.0,9.0,6.7,14.0,1.17,15.3
66,2021-2022,La-Liga,Jeremías Ledesma,ar ARG,GK,Cádiz,28-274,1993,13.0,13.0,1170.0,13.0,19.0,1.46,54.0,38.0,72.2,2.0,6.0,5.0,3.0,23.1,4.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,19.5,0.3,0.5,0.03,115.0,299.0,38.5,256.0,30.0,76.6,56.0,118.0,87.3,66.9,145.0,8.0,5.5,3.0,0.23,13.0
67,2021-2022,La-Liga,Diego López,es ESP,GK,Espanyol,40-011,1981,13.0,13.0,1170.0,13.0,13.0,1.0,58.0,46.0,77.6,4.0,5.0,4.0,5.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.6,0.23,1.6,0.13,63.0,179.0,35.2,306.0,60.0,41.2,37.4,124.0,42.7,37.2,160.0,15.0,9.4,11.0,0.85,14.8
68,2021-2022,La-Liga,Giorgi Mamardashvili,ge GEO,GK,Valencia,21-046,2000,6.0,6.0,540.0,6.0,7.0,1.17,25.0,18.0,72.0,3.0,1.0,2.0,2.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.22,-1.4,-0.23,42.0,105.0,40.0,109.0,21.0,63.3,45.8,45.0,80.0,57.9,55.0,3.0,5.5,0.0,0.0,10.3
